SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community,u_g,g_r,r_i,i_z,FUV_NUV,j_h,h_k,W1_W2,opt_mir
125537.09+423733.1,-24.887753676069124,-25.07790478486145,-25.33237228992424,-25.497830972644817,-25.72016092686399,-23.573379670818927,-24.884525823236228,-25.86799258700057,-26.02273627176852,-26.420167959613387,-26.562707888069,-27.454490530734443,2,0.19015110879232466,0.2544675050627916,0.16545868272057618,0.22232995421917323,1.311146152417301,0.15474368476795064,0.39743168784486826,0.8917826426654436,1.0648769154241826
125550.30-001830.9,-23.80152726976733,-23.937239378563067,-24.211573998732256,-24.206930225064887,-24.30366309627742,-23.23432840444794,-23.651152503241917,-24.68376045064201,-24.635268366058884,-25.03556450349865,-26.020781990999623,-26.85604765007108,2,0.1357121087957367,0.2743346201691885,-0.004643773667368123,0.09673287121253082,0.4168240987939775,-0.04849208458312404,0.4002961374397671,0.8352656590714567,1.8138517659347357
125659.92+042734.4,-25.97946189598398,-26.161702228488924,-26.436956306392958,-26.593953908084792,-26.87706838392708,-23.16796598795204,-25.69626944497964,-26.93102652777045,-27.0251683001089,-27.31057564784325,-28.256439800652963,-29.175678022433832,2,0.18224033250494287,0.2752540779040338,0.15699760169183463,0.28311447584228944,2.528303457027601,0.09414177233844967,0.2854073477343526,0.9192382217808692,1.6624858925681707
125703.12+002435.8,-25.15334102311236,-25.256799475068057,-25.41927850189128,-25.49500691682592,-25.64144807181952,-23.598261356197263,-24.69741134376679,-25.85197491157352,-25.43935278240045,-26.3490131232356,-26.35545804695491,-27.21773089560712,2,0.10345845195569581,0.1624790268232239,0.07572841493463756,0.1464411549936031,1.099149987569529,-0.4126221291730694,0.9096603408351491,0.8622728486522071,0.8604511301289932
125714.69-015053.1,-25.28381722381908,-25.402060571905977,-25.545418938405128,-25.60943640242084,-25.81878392238383,-24.68197863307932,-25.17079135410127,-25.602153817298024,-25.65197618843448,-26.06231402802436,-26.505605725555977,-27.409336753488358,2,0.11824334808689585,0.14335836649915024,0.06401746401571273,0.20934751996298928,0.4888127210219473,0.04982237113645738,0.4103378395898787,0.9037310279323805,0.8961693231351369
125749.70+123353.0,-24.41676364510677,-24.68822693871785,-25.143624645803826,-25.330903052808274,-25.608571249165703,-22.41873401475491,-24.26436592181629,-25.66854628267868,-25.72838059073853,-26.362384093079445,-27.40118027547904,-28.36064412073448,2,0.271463293611081,0.45539770708597516,0.18727840700444887,0.27766819635742834,1.845631907061378,0.05983430805985179,0.6340035023409136,0.959463845255442,2.0702772226707644
125844.38+120224.5,-24.401011167743103,-24.534571312281024,-24.91106580157274,-25.08089948603008,-25.369599063606124,-23.342695986188374,-24.526916105986707,-25.5677600829856,-25.83484018350263,-26.27492086892536,-26.611646527527373,-27.562697341219103,2,0.13356014453792042,0.3764944892917157,0.16983368445734115,0.28869957757604325,1.1842201197983329,0.2670801005170311,0.4400806854227284,0.9510508136917295,1.5307470414972926
125849.84-014303.3,-24.86932279028102,-25.054583179316463,-25.368991322056864,-25.50481306551892,-25.612850841779014,-24.1703121895064,-25.01660110435609,-25.79072755155856,-25.72278491496391,-26.124671506524976,-26.73622582822584,-27.552636098533384,2,0.18526038903544162,0.3144081427404011,0.13582174346205633,0.10803777626009392,0.8462889148496906,-0.06794263659465116,0.4018865915610661,0.8164102703075429,1.2314127627069205
125901.67+413055.8,-24.81762133352834,-25.02829161726768,-25.45679216310141,-25.617523965936247,-25.738754849570057,-24.269597401542452,-24.415486657939503,-25.897070237867368,-25.863920215603425,-26.15791940012572,-26.68517451225452,-27.327356996909693,2,0.21067028373933994,0.42850054583373165,0.16073180283483524,0.1212308836338103,0.14588925639705153,-0.0331500222639427,0.29399918452229556,0.6421824846551729,1.0676505463182728
130002.91-010601.7,-21.978138218908768,-22.185764950762863,-22.576444756399887,-22.65368222455909,-23.008558880473387,-21.395834140574912,-21.9094082204598,-23.200562689377247,-23.144202254420023,-23.699159613340743,-24.067939891036303,-24.6489135246624,2,0.20762673185409497,0.3906798056370242,0.07723746815920407,0.3548766559142962,0.5135740798848865,-0.05636043495722376,0.5549573589207206,0.5809736336260976,1.4142576664772122
