SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
130223.12+140609.0,0.286074,-23.149619086629038,-23.383792650617178,-23.65497439455515,-23.74288390263729,-23.78593180986124,-22.807017122942614,-22.937876949583927,-23.77276499331527,-24.183101500495415,-24.61366687628513,-25.1097561567178,-25.690469416125104,3
130416.99+020537.0,0.228736,-22.29406022148133,-22.423456788345494,-22.71200576689377,-22.82922043916054,-22.843586245908213,-21.909800489547244,-22.06389544404725,-23.17036759531384,-23.58189236428039,-24.096372194874203,-24.875676175367992,-25.521394019260946,3
130708.76+342421.8,0.186447,-22.7478177899902,-22.78879399556161,-22.971415652979267,-23.126399635626115,-23.056983318646807,-22.406419099464564,-22.671568584557164,-24.240965288434555,-24.53697430930187,-24.438272555578767,-24.65902018582856,-25.046260175383985,3
130730.01+092205.1,0.259498,-22.292967954278414,-22.423974647848883,-22.637297320490667,-22.77158849656346,-22.84116077382535,-22.00419977285028,-22.248706143633747,-23.114791459440774,-23.558004437366264,-24.05647550425672,-24.391861360438813,-24.776425418342512,3
130818.89+034437.2,0.227849,-22.89929169592861,-22.94175780502312,-23.100034271858707,-23.289521837484937,-23.182396697325213,-22.87882882364212,-22.95534437043785,-23.33837674842807,-23.673594970373195,-24.30342955321639,-24.700897102483864,-25.195726396836776,3
130843.86+190439.7,0.2219,-22.65095983988215,-22.80581442790674,-23.00879278659305,-23.135163453340912,-23.074515015565467,-22.23305595091189,-22.34150654613696,-23.25420816928722,-23.560048618559392,-24.058157065418044,-24.604178389159163,-25.111333216629944,3
130947.00+081948.2,0.1543,-23.497835705721958,-23.501877441716918,-23.69685586504358,-23.942708629356986,-23.681079355979744,-23.16823255829736,-23.104767448377174,-24.06702430143036,-24.376457851966933,-24.90165980324655,-25.26822874138061,-25.690368708356115,3
131011.88+195428.1,0.3046,-22.183994879833055,-22.43060006269083,-22.926975502683256,-23.179691717294386,-23.283725603489675,-21.80149876974996,-21.924485579012483,-23.61980599697825,-23.690453736714915,-24.00614690404263,-24.17653164977937,-24.571404614281736,3
131204.70+064107.5,0.2419,-23.53254724223522,-23.778424775422035,-24.02670306790726,-24.16969858493435,-24.187823791203904,-22.005253992542947,-22.964516682374413,-24.0711162675893,-24.573863266331543,-25.146729619644898,-26.00140208020422,-26.506377479250457,3
131217.75+351521.0,0.1829,-23.37399164919973,-23.644098852586147,-24.003849770732995,-24.12559079399811,-24.04395794282982,-22.99275343492609,-23.373458497547567,-24.37529880876225,-24.568516303145945,-25.033005335073803,-25.69221868753128,-26.24978071437462,3
