SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
000037.04+032744.9,-20.57916851318964,-21.25629005860551,-21.90217105475276,-22.2150830046936,-22.277482508058384,-18.112816147001755,-19.474080645224515,-22.33485901106408,-23.25358150468658,-23.745138423726296,-23.71829357594251,-24.36677803397289,4
000039.08+272053.0,-22.241846184438497,-22.707017474462106,-23.237358265175157,-23.35263966917838,-23.777031538261205,-21.501684359667312,-22.076521978249826,-23.3637781810136,-24.157709746278343,-24.63174928513079,-26.028191414039007,-26.824254325618657,4
000513.98+094416.2,-23.358672062167816,-23.96675955737909,-24.619804038596268,-24.842060471226446,-25.12053183176349,-21.85592797431376,-22.660580654572257,-25.496120089561188,-25.25719780097937,-25.96813976900724,-27.12696259972342,-28.11280054234116,4
000601.82-052845.0,-21.015144223162093,-21.810333026577847,-22.435133840265763,-22.69088862071795,-22.86032430403247,-19.885931357188515,-20.913030494478075,-23.329984762070584,-23.71224541478447,-24.57649896101229,-24.843975703081263,-25.4334534431124,4
002022.39+271736.8,-21.611044606867647,-22.1837309452351,-22.7877861633769,-22.99388727229525,-23.070044577570613,-19.578444444439175,-20.43126990480959,-23.166944079255288,-23.707649950881603,-23.893774946839383,-24.48450855701422,-25.18693034627867,4
002752.39+002615.7,-20.687651707972524,-21.13167823964033,-21.5815412238843,-21.85665892909934,-21.87343277389085,-18.886267972514748,-19.783529388387105,-22.36227457532794,-23.0406922137357,-23.32654711544481,-24.12589262389078,-24.574669733256307,4
002831.71-000413.2,-21.443879984925637,-21.884017639819977,-22.38396295546044,-22.74839762457884,-22.86955028394002,-19.150681129427543,-20.301731715366824,-23.345965401157635,-23.778228307746275,-24.299776438304967,-24.94597097200935,-25.46689749562691,4
004059.51-065101.5,-20.903387967128293,-21.196107807476075,-21.78806614996689,-22.00678721269333,-22.562571589707236,-18.019500262828043,-19.556188676413736,-22.93581337091436,-23.170102057863996,-23.83550604784338,-24.32846107011044,-25.144194919172666,4
005244.22-005721.8,-22.631177189288405,-23.026727816115987,-23.37673660398534,-23.628685305472462,-23.81949736023737,-21.906633894032637,-23.16222908142181,-24.292652748986463,-24.637086297589256,-25.199212277492208,-26.40831976273908,-27.193834990578527,4
005334.89+323927.1,-22.236055840647342,-22.786607161997317,-23.40192794142509,-23.61084879188092,-23.900008741134997,-19.880964588095445,-20.9866744216222,-23.869827738518985,-24.56322844461279,-25.09641669520949,-25.726919243009974,-26.55223845868551,4
005447.28+254443.9,-22.63700927517571,-23.12885630537721,-23.614230508154836,-23.72719623233059,-23.997654396135847,-21.539453686777385,-22.54172264143861,-24.069453849528568,-24.53004044765862,-25.15904851275629,-26.040832106775287,-26.807618325264546,4
005812.84+160201.4,-21.95059640495274,-22.65386868624573,-23.2652278804635,-23.53840414495109,-23.572677979821,-17.79693128075168,-20.24290121057768,-23.8581555553342,-24.398606985173352,-24.876529992701567,-25.563422354730918,-26.012741892808844,4
010228.79+182855.8,-22.67679997786327,-23.24474537309369,-23.736772477221635,-23.95558101558228,-24.311933088632685,-22.02853197168047,-22.828956460927643,-24.716328143747557,-24.678767266149656,-25.211744833498607,-25.73224525743257,-26.564995306850857,4
010253.25-042150.5,-21.98301839078393,-22.431258629171623,-23.00878493195928,-23.17661434484043,-23.51335162542702,-20.26405844111615,-21.119994367912295,-23.637244703073325,-24.23966907203526,-24.731734591210508,-25.537807325329293,-26.316806951849983,4
010352.47+003739.7,-23.644989855933453,-24.10794257028858,-24.696419439400653,-24.96842593737805,-25.19821541069207,-21.714487989075927,-23.145426541065454,-25.11579643219243,-25.56695764379555,-26.538743806071803,-27.63369048787109,-28.62444976688334,4
010525.35+233241.0,-21.83055333518355,-22.444743177129105,-22.898983549010048,-23.16283255339461,-23.511606675066137,-20.60199176516076,-21.36427896243211,-23.526874260215084,-24.275320918869756,-24.78053341794161,-25.5262332988486,-26.283060546030807,4
011033.52+015446.1,-23.416595222032846,-23.9159545278444,-24.5807027278035,-24.87883611260535,-25.1453381892833,-22.753106967340628,-23.209075507340568,-25.647909641014,-25.82333957260058,-26.20428442889827,-26.86839254910787,-27.909001774501387,4
011704.49-023650.8,-21.277949178104542,-21.89242412513957,-22.575028675611485,-22.768090294765518,-23.06514781648755,-20.016714697529867,-20.506376801698117,-23.09979838497223,-23.511604695903,-24.14998510489952,-24.60991782572676,-25.287428542046428,4
012924.36+251236.9,-22.5131417221673,-23.4927144156032,-24.09206259173879,-24.31156929927418,-24.56676757400704,-20.168449866360326,-21.926683861622003,-25.658136734032496,-25.63197287732964,-26.007247073376437,-26.474002856195582,-27.3928617685736,4
012937.53+271658.5,-22.69430817788092,-23.279501160260885,-23.88925034312502,-24.10454728542736,-24.33662038071184,-21.37942229744925,-22.076677098499783,-24.815437684247435,-25.05710955758407,-25.47233985777212,-25.73496167004552,-26.60129595001065,4
013926.45+090414.3,-20.758691707164548,-21.49341420318295,-22.07498693734883,-22.322506946960974,-22.423641389372914,-16.53481752441416,-19.193072654836516,-22.592404676068718,-23.018830859278147,-23.46456128346112,-24.37096398254245,-24.94514705540768,4
014149.06+270824.2,-21.536544662109332,-22.08637033948354,-22.797848182716024,-23.008546731213748,-23.30616079059563,-20.64480102981684,-21.15048760763101,-23.561400764604205,-23.90472781530677,-24.223591549095737,-25.012438514952148,-25.844400998900944,4
014214.57-031156.1,-20.670880134398427,-21.218868994473283,-21.83418465509977,-22.08685151658119,-22.15858141706123,-19.36722608723182,-20.14271914662525,-22.360851669319903,-22.562095939380203,-22.945536617275668,-24.04047837929621,-24.57223126235332,4
014323.56-012452.4,-21.041449712457347,-21.963670964380185,-22.89164029244816,-23.255693595782144,-23.632718492434662,-19.27333172565704,-19.90686330263632,-24.185711761732524,-24.660337759846243,-25.424199669801915,-26.04351913264967,-26.875549543348587,4
014344.83+151622.6,-22.556587173359947,-23.050821069370052,-23.658409015713843,-23.82574206891677,-24.07019290979004,-20.356068265644637,-21.237774663279165,-24.04719739119905,-24.454739255815092,-25.102282114828466,-25.735813536932994,-26.39671637586281,4
015024.71-034056.3,-23.25930573461497,-23.686121890556944,-24.1050430349114,-24.240893297749885,-24.33689543601248,-21.9245871064257,-23.04959808967967,-24.72276572548602,-24.968890319668464,-25.520460638240756,-26.425701397863357,-27.2096630826593,4
015130.66+323859.2,-21.23395145625017,-22.5111522896076,-23.45111057062221,-23.553148924576416,-23.89720593746008,-22.039343047275963,-22.44453370093816,-24.144101318118253,-24.551158917287875,-25.01402532987543,-25.647108243572603,-26.54382706985384,4
020351.67+282235.5,-22.94502950516869,-23.68357554024625,-24.313907596303423,-24.54769761932945,-24.814448577912,-16.65951893171275,-17.98788199485131,-24.689808581542923,-25.32453514093804,-26.019657565835168,-26.58908561579344,-27.503148340632563,4
020600.31+051953.4,-23.263346537260187,-23.675520760016184,-24.180843085331716,-24.410758473779563,-24.69811620291125,-22.004807342049983,-22.30107236884959,-24.85762713922708,-24.89204127826645,-25.410336829850856,-26.395225284473025,-27.3075902172482,4
021337.89-042814.7,-21.4018493995033,-22.10246006812176,-22.565574372557176,-22.717273449697664,-22.99707876115713,-20.46506373031045,-21.60232986266366,-23.28110518253037,-24.029656184764388,-24.21296277829499,-25.26183826617186,-26.194344357650785,4
022928.40-051125.0,-20.92315372668528,-21.869299743690057,-22.672968108962447,-23.068073216271845,-23.196344749703023,-16.876364878785985,-19.81774519215652,-23.34902319002924,-24.047586475835264,-24.505709265557467,-25.23527731231636,-25.946899471722904,4
023035.85+032800.6,-23.11626814786013,-23.55650044544896,-24.079609837765297,-24.230697740301043,-24.43391680900366,-21.5657401483661,-22.42814745074353,-24.95388835710181,-25.06378010240515,-25.629089530477728,-26.05563342153598,-26.90633832919061,4
024706.65+002318.1,-20.475625196735606,-21.48840023667024,-22.379888297005152,-22.674494331737662,-23.11233983860524,-15.494765631652536,-16.983920876546385,-23.323618953460237,-23.49971468611994,-24.034521126819968,-24.23594221113831,-24.92314939044082,4
025603.18+050326.3,-22.28816093162281,-22.96793022128044,-23.71891215753222,-24.00633984275848,-24.283030083157666,-20.5630679394567,-20.717118785755883,-24.03139547124457,-24.365591112296837,-24.78106786584319,-25.66108372366209,-26.572886974571343,4
041210.17-051109.1,-23.56266524118535,-24.02947690550484,-24.57653375645587,-24.87128522545504,-25.058915178022577,-22.762034438211334,-23.151722603628563,-25.34506183421836,-25.56647941319277,-25.89775202654716,-26.157616757314194,-27.20699515983293,4
072122.98+411735.3,-22.30741557063266,-22.977118244886796,-23.70579312252354,-24.09792741668589,-24.35003467685869,-19.178105670283895,-20.947240862175452,-24.43811941346646,-24.79801736924677,-24.98923941151629,-25.384133379316115,-26.075842702626804,4
072325.06+420822.6,-22.52820032200305,-23.06725204842641,-23.70044264305569,-23.93747692050599,-24.239187827711195,-20.427628364652445,-21.34603913134192,-24.257325136335616,-24.39244108955881,-24.91242444319945,-25.171854240738444,-26.014892012854645,4
072649.46+161745.2,-22.05663710671876,-22.678729269126865,-23.34653445540457,-23.58601373412096,-23.79928096051147,-20.550343967988987,-20.568989530433424,-24.20305015676809,-24.546234822985507,-24.86639041286164,-25.839469036822525,-26.714619241298717,4
073056.98+413057.7,-21.365157770503163,-22.309372118438304,-23.04237966739452,-23.390413578623424,-23.786259983002846,-12.26430859167475,-19.984740707616105,-23.819069056477687,-24.2745792772512,-24.912181380068954,-26.046755714021806,-26.7510003743237,4
074217.52+392612.0,-20.89759623410537,-21.880916765575197,-22.820295383314143,-23.18619096909946,-23.768828391650214,-17.57968716146921,-18.869899450896146,-24.071633997301337,-24.79117495436016,-25.44716939549736,-25.91126561215744,-26.867167040102338,4
074631.77+354523.7,-22.175814143675943,-22.881083532086475,-23.45353937751673,-23.689236684890176,-23.988931218376983,-19.509610170653996,-20.4994324779512,-24.2038938497892,-24.502484085353355,-25.009747916317952,-26.007141737265563,-26.869961951362814,4
075537.02+254238.9,-22.12550920355564,-22.882098663274533,-23.7265376926803,-24.25844689028533,-24.790474027812863,-21.066101701243912,-21.562794274356825,-24.748312517553195,-25.166043749459707,-25.599302263268395,-26.442286882156743,-27.25756174586533,4
075652.50+361511.0,-23.16859973818845,-23.544648162616543,-23.997424898425574,-24.225175462398447,-24.355583862879065,-21.41910431062813,-23.06020725420622,-24.56186912490572,-24.961928950873947,-25.58321675893944,-26.746945552073583,-27.74371025800325,4
080248.18+551328.8,-21.186964657510828,-22.488843282442936,-23.60781782057493,-24.156613879929843,-24.51861018449441,-19.271428712218437,-19.051953814533054,-24.76461979405565,-24.944086560918617,-25.83787844358555,-26.59536361484202,-27.504070932924947,4
080409.24+385348.7,-21.061173453646184,-21.967311552125825,-22.768786135263685,-23.13243776935906,-23.21442272202612,-19.331650496414856,-20.14358648694691,-23.38532346674505,-23.989174566653183,-24.430779278143557,-25.5028885230944,-25.96148439757973,4
080607.67+454639.8,-20.92251460074188,-21.64603896378488,-22.427160978072777,-22.680517974838228,-23.02375385189025,-17.37602167289335,-19.495389744702628,-23.336463380006908,-23.51035750972825,-24.039714403235354,-24.929263601407158,-25.758144156257117,4
081550.26+241606.0,-22.19648353160832,-22.98104313947249,-23.77224905909068,-24.09343631636756,-24.43732370212301,-20.309241984773653,-21.35379626372405,-24.90355690663003,-25.13694192496156,-25.48191913074056,-25.951261335620725,-26.787282416088807,4
083353.88+422401.8,-21.72428040643461,-22.4804635448524,-23.125703315320354,-23.59246511032455,-23.816937964581072,-21.70194228160712,-22.15275261961404,-24.34082274259817,-24.871068101334338,-25.24099555739162,-25.20446540247558,-25.679424686720814,4
083354.49+565815.9,-23.80828156347029,-24.192428125453155,-24.870912011589034,-25.23002130458832,-25.644200134470072,-22.42178475075903,-23.07733128981296,-26.004917838922974,-25.732136892461483,-26.16820782009936,-26.62692698266238,-27.385492592463912,4
083525.97+435211.2,-23.088465871555723,-23.81094286642078,-24.233026339972824,-24.40119408359814,-24.629886375935538,-20.480598606331167,-21.596396418911088,-24.470815392904864,-24.545995911854785,-25.04876015136876,-25.74897610777754,-26.58019855462572,4
083639.86+111920.9,-22.084701128879352,-22.74697036252513,-23.33737835090609,-23.49148816601938,-23.80976515823389,-20.106780789631507,-20.68070976666083,-23.866408740390263,-24.047808275012823,-24.44968909831416,-25.531668552157797,-26.082784043933337,4
084309.23+364138.4,-22.13977230661264,-22.937835519700915,-23.66682128715299,-24.036980746143737,-24.366469249111045,-21.0009558933431,-21.336701213865904,-24.55887777288555,-25.082240214498857,-25.62108572488893,-26.28565189862472,-27.12650306274127,4
084832.04+423108.4,-22.346142323664186,-22.909160845848305,-23.490149565007503,-23.74838887570097,-23.84787622726682,-18.868597056513156,-20.870591111260737,-24.036333586549343,-24.23044424342245,-24.949205818187476,-25.44774911431836,-26.17836553813663,4
085045.32+172002.8,-21.07066801015566,-21.842219520031577,-22.619121934764664,-22.92415748007353,-23.074830199127263,-19.55054463098998,-19.92233255390049,-23.22253843097301,-24.065409608397932,-24.69794780433965,-25.63281023361836,-26.40981926354755,4
085202.21+014336.3,-22.851280044207712,-23.44317667207742,-24.079733489540057,-24.29294700936757,-24.61644569810481,-21.5203955047992,-22.396046686918083,-25.270709262554004,-25.31774274642976,-25.81075554981221,-26.11668019039434,-26.98412908771897,4
085255.27+023916.5,-21.42582558168465,-22.259933590888284,-23.020533362538814,-23.22444916029887,-23.551128655244806,-19.038907159134173,-19.892985337238585,-23.858769756647654,-24.205705909308968,-24.390132320943614,-24.925360968614957,-25.86787480305741,4
085338.72+020318.3,-22.12239928381676,-23.006111102178107,-23.747045309407643,-23.95942099047752,-24.310318525892257,-19.12877235349293,-20.326780369593585,-24.26783790799577,-24.718321036437512,-25.452117385577317,-25.98793791876479,-26.87393890407141,4
085509.71+080916.8,-21.384715581831976,-21.831853412384834,-22.319562721173263,-22.51988848799406,-22.644333457002084,-19.640504004655,-20.58601491629784,-23.491078004521835,-23.87116506282721,-24.562482536108888,-24.746916218970565,-25.340458710289887,4
090642.11+183428.5,-22.99813798725829,-23.358331753767207,-23.860061276235196,-24.077110894749804,-24.23395229017201,-21.734507234253105,-22.432984321514137,-24.29088426967275,-24.51159683132274,-25.000398466685127,-25.926232719239053,-26.72014547899914,4
090725.91+021521.1,-22.360746914740638,-22.851175189627003,-23.35397265361796,-23.48561548182111,-23.67846073409157,-20.61214653762825,-21.648357085334364,-23.61314041567992,-24.220383924081144,-24.962352771600084,-25.643460622118983,-26.2406545646054,4
090840.70+132117.3,-22.495130415838467,-23.016271711973708,-23.74305326501993,-23.869552445563208,-24.0372485520736,-20.58687880090155,-21.290349147224475,-24.225989813054465,-24.192210273316856,-24.95390605114957,-25.658343969799247,-26.390796124878253,4
090850.41+254447.0,-22.38571556810293,-23.096989021582345,-23.600771373049863,-23.773352811653407,-24.105091324917584,-20.38575352964366,-20.816598796751155,-24.260824535235283,-24.53586340981657,-25.02367418603758,-25.57227813517464,-26.588311357665976,4
090947.85+312443.6,-21.248818845557,-22.1494847475262,-22.94270238631259,-23.227281081691068,-23.39788283862387,-19.144303085348543,-20.211468744212294,-23.92172435291841,-24.28596362537619,-24.81638187036728,-25.4046484710386,-25.91875826802967,4
091110.19+140632.6,-21.429426943804412,-22.422704893463653,-23.198340840373756,-23.64739816513965,-24.214827734942347,-19.72058890364106,-20.5161319339942,-24.16312278257521,-24.67354687724149,-25.03077531025043,-26.05224213989562,-26.94013824751919,4
091706.33+325624.6,-22.25837083758544,-22.92421721281969,-23.491360473467736,-23.599375701644902,-24.03985174880476,-20.8169936647468,-21.57734865696841,-23.865109497541216,-24.22771499934789,-24.90360320947617,-25.8782969451414,-26.66988317066929,4
091833.82+315621.1,-22.21877082337189,-22.86876267145845,-23.457680795441775,-23.757336621931543,-24.273889024795725,-20.011076353469488,-20.655929166602547,-24.43314290982262,-25.05015172024178,-25.87813923306837,-26.38155066860189,-27.29363063379909,4
091848.61+211717.0,-19.12723988779196,-20.859188745109325,-22.015408016527985,-22.530468209755103,-22.791249239611474,-16.454642224503495,-17.184543516814383,-23.340226156956778,-24.036734567899785,-24.67202774396614,-25.40712441837248,-25.858064619919457,4
091956.11+560720.4,-22.35450859309168,-23.07138687526477,-23.62418659336784,-23.81197357986293,-24.08992847748602,-20.496772445482783,-21.078343021909504,-24.194066185055235,-24.564739406178795,-25.3443852763223,-25.59391482107216,-26.600228649889907,4
092024.84+342321.2,-23.800280137701723,-23.816946801531515,-24.269871711951023,-24.54394246160062,-24.67547140822476,-21.349258882640832,-23.398712343515086,-24.739909006903552,-25.186344181077214,-25.92514490115843,-26.53265858991749,-27.18506443461992,4
092441.08-001729.6,-23.38193929913769,-23.605640032252783,-24.199595025516626,-24.443372708224032,-24.674433676200245,-21.596817099650572,-23.223541781518417,-24.6628726661734,-25.123851670325774,-25.570138208607386,-26.397524810162764,-27.411819081223378,4
092905.48+214054.7,-22.37811462645572,-23.113162241927263,-23.736190727623168,-24.0648458805209,-24.31981718152052,-19.66963082013269,-21.42514876516169,-24.59564037760018,-24.84235259271466,-25.17531690746649,-25.981043222522047,-26.69501395152416,4
093131.07+100337.8,-22.903050514968683,-23.49972410254722,-24.09725138527374,-24.403972863336445,-24.613852702604557,-21.38935447731313,-21.656272921721325,-24.8047271850387,-25.33371335743866,-25.489816367957893,-25.88542848887077,-26.660065288029564,4
093433.95+030645.1,-21.57869684934113,-22.187378066202275,-22.82392946998689,-22.9917255564194,-23.266828354345108,-19.570364880954013,-20.72766589307754,-23.351108306199244,-24.11684734921619,-24.59844928204222,-25.835160916650945,-26.392472588675563,4
