SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2
125531.96+594003.2,1.329,-24.65748696656392,-25.016737239594608,-25.344898800700438,-25.514903812044476,-25.79283210483518,-20.279215639088896,-24.52744815302723,-25.991008478490485,-26.050471037767498,-26.278723598670997,-26.887872134503144,-27.766242011372324
125537.09+423733.1,1.208858,-24.887753676069124,-25.077904784861452,-25.332372289924237,-25.497830972644817,-25.72016092686399,-23.573379670818927,-24.884525823236228,-25.86799258700057,-26.02273627176852,-26.420167959613387,-26.562707888069,-27.454490530734443
125543.36+350952.7,0.467606,-22.61469471565028,-22.82839565766477,-23.010741797418376,-23.173230224871443,-23.42703113196437,-23.38033164420538,-23.572122821729103,-24.008162971430963,-24.243721977235296,-25.019723023182866,-25.27311961692054,-26.09009924742447
125547.61+401230.7,1.085,-24.29571378820668,-24.43175909607053,-24.757965455432736,-24.951397233562734,-25.116649056794568,-22.13382056332084,-24.0734147171746,-25.021421892768004,-25.306409316200618,-25.38428655674944,-26.101906779413177,-26.963360043260572
125550.30-001830.9,0.71758,-23.801527269767334,-23.937239378563067,-24.211573998732256,-24.206930225064887,-24.30366309627742,-23.23432840444794,-23.651152503241914,-24.68376045064201,-24.635268366058884,-25.035564503498655,-26.020781990999623,-26.85604765007108
125602.51+165557.2,1.508,-23.947764818692697,-24.311815540596417,-24.954183757275263,-25.277673967955636,-25.745139156504823,-20.31501509652223,-23.24119236973184,-26.182066779719044,-26.600337783502944,-26.590764833813985,-26.872387915351908,-27.622005158452886
125645.80+141426.8,1.736095,-24.72321875308256,-25.00609488958296,-25.41455884923437,-25.672600196600325,-25.898456688544698,-22.101446374158318,-23.87418619618028,-26.22030842181491,-26.560473844513208,-26.265991286044283,-27.36712802552266,-28.261254967465614
125659.92+042734.4,1.025584,-25.97946189598398,-26.161702228488924,-26.436956306392954,-26.593953908084792,-26.87706838392708,-23.167965987952037,-25.69626944497964,-26.931026527770452,-27.0251683001089,-27.310575647843255,-28.256439800652963,-29.175678022433832
125703.12+002435.8,1.260971,-25.15334102311236,-25.256799475068057,-25.419278501891277,-25.49500691682592,-25.64144807181952,-23.598261356197266,-24.69741134376679,-25.85197491157352,-25.43935278240045,-26.3490131232356,-26.35545804695491,-27.217730895607122
125714.69-015053.1,1.054478,-25.28381722381908,-25.402060571905977,-25.545418938405128,-25.609436402420837,-25.81878392238383,-24.68197863307932,-25.17079135410127,-25.602153817298024,-25.65197618843448,-26.062314028024357,-26.505605725555977,-27.409336753488354
125716.34+511758.1,0.526017,-23.325576720588828,-23.594466380834483,-23.915865692439528,-24.015254264528522,-24.255592794744228,-23.75181566910269,-23.628781215433825,-24.21926273883346,-24.85957276822317,-24.806305098509075,-25.37634946553118,-26.10310164369501
125719.53+005018.9,1.525629,-24.951072919783893,-25.202702118155155,-25.630368964691527,-25.81783972649012,-26.090993783175602,-23.199602137022488,-24.743802791389744,-26.57712174430142,-26.92739204474802,-26.841759089402355,-27.43744360991192,-28.35696116795385
