,SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community,local_clustering
33,125901.67+413055.8,0.745117,-24.81762133352834,-25.02829161726768,-25.45679216310141,-25.617523965936247,-25.738754849570057,-24.269597401542452,-24.415486657939503,-25.897070237867368,-25.863920215603425,-26.15791940012572,-26.68517451225452,-27.327356996909693,0,1.0
325,131938.76-004940.0,0.890996,-24.342625948302054,-24.47751769719428,-24.792651147585246,-24.95835990107551,-25.12901911037469,-23.61241861028488,-23.16986809753361,-25.482288293433804,-25.476814167484925,-25.87448438402353,-25.8213609626944,-26.47943343864128,0,1.0
419,132522.47+373300.1,0.5443,-22.75323800000892,-22.85516990915103,-23.28368802036548,-23.37247613159345,-23.62373094397159,-22.381897107611877,-22.308334538646527,-23.87106459106308,-24.01284470769505,-24.463936205184307,-24.124282314998112,-25.0728064951606,0,1.0
579,133613.30+282458.4,1.908,-24.29612723754762,-24.404776344645228,-24.87245282303584,-25.22843774137356,-25.428197617632456,-21.177009049931964,-22.584300016690097,-26.1256406242513,-26.56946040164513,-26.902094188939035,-26.67696314321341,-27.389049088258485,0,1.0
605,133807.50+242411.3,0.6313,-23.38595394768653,-23.535162662578927,-23.871142345880724,-23.90696866814925,-24.08629900491813,-22.79229447723775,-22.82600085616002,-24.211922468483184,-24.561148258717644,-24.81277119628274,-24.903850994136267,-25.56906247314813,0,1.0
985,140544.23+615440.8,0.334,-20.37987939175366,-20.89454212893559,-21.601313841765037,-21.897113005621943,-22.155606667798818,-20.74634439024146,-20.912017281384493,-23.07095850357005,-23.73700462409816,-22.931558530642963,-23.150977721176798,-23.71135114800139,0,1.0
1239,142441.20-000727.1,0.31863,-21.70407851998105,-22.14420488531213,-22.51955015790588,-22.68876099248998,-22.82934490485815,-20.237138910877437,-20.64353511100817,-23.03349663701129,-23.203664271815224,-23.76058472497897,-24.126826363795438,-24.614380885346467,0,1.0
1262,142607.71+340426.3,1.337306,-24.596501434967607,-25.099694193762616,-25.42706090197787,-25.77246460125036,-26.25422647865028,-20.98668873519937,-23.820486827131383,-26.843947697064973,-26.85592369856824,-27.635116565991503,-27.486513170344587,-27.911020026977106,0,1.0
1690,145814.69+050204.3,1.8676,-24.79296260448968,-25.08264104173795,-25.42493517646412,-25.53136054994412,-25.61364040006241,-22.68118560692189,-23.66693620488337,-25.797967284858693,-26.72453052563214,-26.84465861592886,-26.70245781762139,-27.57717468988848,0,1.0
1771,150420.98+543610.2,1.169,-25.11150623308396,-25.52777458895255,-25.837567115351213,-25.94843162103175,-26.23189430303221,-20.023209641304955,-23.12511009528153,-26.595369758812467,-26.427372299272395,-26.586809602558635,-26.841343441975894,-27.60981841893237,0,1.0
65,130114.47+155616.3,0.671159,-23.59331175195256,-23.8585222964752,-24.20714669600128,-24.24079020701132,-24.377272357539088,-23.37982538785421,-23.4428449787866,-24.642610096143063,-24.559297098921554,-24.90160112134309,-25.64418855224861,-26.58448601674587,1,1.0
122,130522.74+511640.2,0.787552,-24.44124068194153,-24.567788565465744,-25.054255990218188,-25.23980496002689,-25.34548133824224,-24.023891650541955,-24.369645281626767,-25.36802498041657,-25.798107786467043,-26.02101719961192,-26.57807295717796,-27.559528091296205,1,1.0
148,130646.71+282354.4,0.921756,-23.52959807247483,-23.61815921487773,-24.00139208051748,-24.305449362350537,-24.511767487874994,-21.458336016236395,-23.50114079143814,-24.505117824040312,-24.690609316761755,-25.362929385867726,-25.744372828043016,-26.662040354943983,1,1.0
417,132518.84+661459.9,0.732245,-24.98638473154867,-25.062682119326773,-25.30324393988394,-25.366957141787125,-25.41515386574368,-24.41766619899789,-24.56491594027637,-25.33012139308,-25.355874631314883,-25.858878559651814,-26.652313644087915,-27.474532703352907,1,1.0
509,133204.84+610918.6,0.735059,-23.30609253651828,-23.41154515983129,-23.61972572401926,-23.674728737531776,-23.76536084735709,-23.048811993293093,-23.17250133890416,-24.24066328933147,-24.714763002767587,-24.81363754352917,-25.275259175345614,-26.111743009861648,1,1.0
