# Template extendido con power-law (f_lambda = A * (lam/lam0)^(-alpha) + C)
# A = 8.034762e-15, alpha = 1.683010, C = 6.020234e-15, lam0 = 7183.2 Angstrom
# columns: lambda_Angstrom, f_lambda

860.432000,9.054480e-16
860.997000,1.565800e-14
861.562000,1.293110e-14
862.127000,9.423480e-15
862.692000,1.061370e-14
863.257000,1.678190e-14
863.822000,2.309300e-14
864.387000,4.518250e-14
864.952000,4.799510e-14
865.517000,4.061900e-14
866.082000,5.042010e-14
866.647000,4.362730e-14
867.212000,3.106590e-14
867.777000,4.115230e-14
868.342000,4.767870e-14
868.907000,3.493140e-14
869.472000,2.811540e-14
870.037000,2.730260e-14
870.602000,2.225320e-14
871.167000,3.243860e-14
871.732000,2.696960e-14
872.297000,1.153110e-14
872.862000,1.138500e-14
873.427000,1.043430e-14
873.992000,8.554120e-15
874.556000,1.174810e-14
875.121000,3.187010e-14
875.686000,3.296170e-14
876.251000,3.280810e-14
876.816000,2.639030e-14
877.381000,2.489560e-14
877.946000,2.312180e-14
878.511000,2.159120e-14
879.076000,1.978110e-14
879.641000,2.146860e-14
880.206000,2.393210e-14
880.771000,2.695890e-14
881.336000,3.361980e-14
881.901000,4.089900e-14
882.466000,4.527610e-14
883.031000,6.794720e-14
883.596000,7.727380e-14
884.161000,6.887960e-14
884.726000,6.267980e-14
885.291000,6.093820e-14
885.856000,4.417740e-14
886.421000,5.935440e-14
886.986000,8.679350e-14
887.551000,9.885150e-14
888.115000,1.024970e-13
888.680000,1.062390e-13
889.245000,9.812740e-14
889.810000,9.332950e-14
890.375000,9.478800e-14
890.940000,1.058460e-13
891.505000,1.151440e-13
892.070000,1.113480e-13
892.635000,1.039130e-13
893.200000,1.002410e-13
893.765000,9.572450e-14
894.330000,9.302850e-14
894.895000,9.927380e-14
895.460000,1.101630e-13
896.025000,1.115110e-13
896.590000,1.151420e-13
897.155000,1.128640e-13
897.720000,1.016140e-13
898.285000,9.437830e-14
898.850000,9.395580e-14
899.415000,8.566380e-14
899.980000,8.066250e-14
900.545000,7.836100e-14
901.109000,7.288640e-14
901.674000,7.145410e-14
902.239000,7.516560e-14
902.804000,7.776110e-14
903.369000,7.955020e-14
903.934000,7.971730e-14
904.499000,8.284730e-14
905.064000,8.389710e-14
905.629000,8.540440e-14
906.194000,8.962950e-14
906.759000,9.245420e-14
907.324000,8.989220e-14
907.889000,8.783330e-14
908.454000,8.597580e-14
909.019000,8.276650e-14
909.584000,7.771830e-14
910.149000,7.441920e-14
910.714000,7.600600e-14
911.279000,8.026270e-14
911.844000,8.024830e-14
912.409000,7.890070e-14
912.974000,8.296280e-14
913.539000,8.312070e-14
914.104000,8.045220e-14
914.669000,8.344250e-14
915.234000,9.042610e-14
915.798000,9.320180e-14
916.363000,9.450060e-14
916.928000,9.382250e-14
917.493000,9.478430e-14
918.058000,9.918010e-14
918.623000,1.024950e-13
919.188000,1.052290e-13
919.753000,1.082380e-13
920.318000,1.091680e-13
920.883000,1.086130e-13
921.448000,1.069600e-13
922.013000,1.067760e-13
922.578000,1.100370e-13
923.143000,1.156570e-13
923.708000,1.200060e-13
924.273000,1.235710e-13
924.838000,1.271220e-13
925.403000,1.244220e-13
925.968000,1.198060e-13
926.533000,1.159990e-13
927.098000,1.174250e-13
927.663000,1.214490e-13
928.228000,1.309260e-13
928.793000,1.372450e-13
929.357000,1.422350e-13
929.922000,1.464240e-13
930.487000,1.480110e-13
931.052000,1.459100e-13
931.617000,1.482710e-13
932.182000,1.486840e-13
932.747000,1.447120e-13
933.312000,1.403120e-13
933.877000,1.378010e-13
934.442000,1.315800e-13
935.007000,1.277250e-13
935.572000,1.243670e-13
936.137000,1.207340e-13
936.702000,1.178090e-13
937.267000,1.151860e-13
937.832000,1.103840e-13
938.397000,1.030780e-13
938.962000,9.640650e-14
939.527000,9.428780e-14
940.092000,9.817200e-14
940.657000,1.044780e-13
941.222000,1.124980e-13
941.787000,1.188580e-13
942.352000,1.207710e-13
942.917000,1.212640e-13
943.481000,1.229550e-13
944.046000,1.266920e-13
944.611000,1.335550e-13
945.176000,1.363090e-13
945.741000,1.334800e-13
946.306000,1.298620e-13
946.871000,1.271860e-13
947.436000,1.201060e-13
948.001000,1.125270e-13
948.566000,1.094940e-13
949.131000,1.093590e-13
949.696000,1.124830e-13
950.261000,1.199480e-13
950.826000,1.261330e-13
951.391000,1.302700e-13
951.956000,1.324570e-13
952.521000,1.332860e-13
953.086000,1.323050e-13
953.651000,1.349140e-13
954.216000,1.385180e-13
954.781000,1.394410e-13
955.346000,1.376080e-13
955.911000,1.343130e-13
956.476000,1.303450e-13
957.040000,1.248750e-13
957.605000,1.166660e-13
958.170000,1.107110e-13
958.735000,1.096630e-13
959.300000,1.098740e-13
959.865000,1.103960e-13
960.430000,1.145030e-13
960.995000,1.159430e-13
961.560000,1.130370e-13
962.125000,1.120590e-13
962.690000,1.130320e-13
963.255000,1.154350e-13
963.820000,1.203030e-13
964.385000,1.282270e-13
964.950000,1.366480e-13
965.515000,1.411180e-13
966.080000,1.456300e-13
966.645000,1.470970e-13
967.210000,1.456450e-13
967.775000,1.429130e-13
968.340000,1.426590e-13
968.905000,1.403890e-13
969.470000,1.418840e-13
970.034000,1.452450e-13
970.599000,1.474140e-13
971.164000,1.499390e-13
971.729000,1.493800e-13
972.294000,1.457060e-13
972.859000,1.402690e-13
973.424000,1.391170e-13
973.989000,1.379500e-13
974.554000,1.390390e-13
975.119000,1.432500e-13
975.684000,1.502580e-13
976.249000,1.553880e-13
976.814000,1.568090e-13
977.379000,1.565930e-13
977.944000,1.539340e-13
978.509000,1.493320e-13
979.074000,1.449260e-13
979.639000,1.437440e-13
980.204000,1.440230e-13
980.769000,1.463470e-13
981.334000,1.490330e-13
981.899000,1.492960e-13
982.464000,1.502500e-13
983.029000,1.531400e-13
983.594000,1.546190e-13
984.159000,1.558580e-13
984.723000,1.581370e-13
985.288000,1.584390e-13
985.853000,1.565240e-13
986.418000,1.550070e-13
986.983000,1.519440e-13
987.548000,1.488160e-13
988.113000,1.486230e-13
988.678000,1.518740e-13
989.243000,1.553160e-13
989.808000,1.579330e-13
990.373000,1.606040e-13
990.938000,1.606320e-13
991.503000,1.570490e-13
992.068000,1.498100e-13
992.633000,1.457040e-13
993.198000,1.423960e-13
993.763000,1.415450e-13
994.328000,1.437390e-13
994.893000,1.462470e-13
995.458000,1.458780e-13
996.023000,1.432130e-13
996.588000,1.406040e-13
997.153000,1.384720e-13
997.718000,1.381940e-13
998.282000,1.385550e-13
998.847000,1.381580e-13
999.412000,1.346890e-13
999.977000,1.296800e-13
1000.540000,1.267690e-13
1001.110000,1.267060e-13
1001.670000,1.282310e-13
1002.240000,1.311480e-13
1002.800000,1.338340e-13
1003.370000,1.358940e-13
1003.930000,1.360550e-13
1004.500000,1.347810e-13
1005.060000,1.316890e-13
1005.630000,1.292980e-13
1006.190000,1.281760e-13
1006.760000,1.305640e-13
1007.320000,1.346750e-13
1007.890000,1.401340e-13
1008.450000,1.436230e-13
1009.020000,1.434260e-13
1009.580000,1.386460e-13
1010.150000,1.343070e-13
1010.710000,1.312330e-13
1011.280000,1.300620e-13
1011.840000,1.299570e-13
1012.410000,1.328190e-13
1012.970000,1.340540e-13
1013.540000,1.345660e-13
1014.100000,1.360840e-13
1014.670000,1.408390e-13
1015.230000,1.455280e-13
1015.800000,1.494220e-13
1016.360000,1.535300e-13
1016.930000,1.562650e-13
1017.490000,1.557260e-13
1018.060000,1.543580e-13
1018.620000,1.569900e-13
1019.190000,1.617780e-13
1019.750000,1.656720e-13
1020.320000,1.693150e-13
1020.880000,1.713460e-13
1021.450000,1.719090e-13
1022.010000,1.732960e-13
1022.580000,1.757570e-13
1023.140000,1.781360e-13
1023.710000,1.800140e-13
1024.270000,1.797320e-13
1024.840000,1.778240e-13
1025.400000,1.782420e-13
1025.970000,1.799220e-13
1026.530000,1.822890e-13
1027.100000,1.866470e-13
1027.660000,1.891400e-13
1028.230000,1.901010e-13
1028.790000,1.908830e-13
1029.360000,1.923460e-13
1029.920000,1.935990e-13
1030.490000,1.957460e-13
1031.050000,1.960000e-13
1031.610000,1.972300e-13
1032.180000,2.004990e-13
1032.740000,2.028850e-13
1033.310000,2.057010e-13
1033.870000,2.097870e-13
1034.440000,2.128360e-13
1035.000000,2.127050e-13
1035.570000,2.108430e-13
1036.130000,2.063980e-13
1036.700000,2.012430e-13
1037.260000,1.965420e-13
1037.830000,1.920310e-13
1038.390000,1.902070e-13
1038.960000,1.913330e-13
1039.520000,1.911190e-13
1040.090000,1.879790e-13
1040.650000,1.847760e-13
1041.220000,1.794800e-13
1041.780000,1.725140e-13
1042.350000,1.655030e-13
1042.910000,1.598430e-13
1043.480000,1.579550e-13
1044.040000,1.577450e-13
1044.610000,1.575500e-13
1045.170000,1.567360e-13
1045.740000,1.554860e-13
1046.300000,1.513000e-13
1046.870000,1.461140e-13
1047.430000,1.402090e-13
1048.000000,1.358230e-13
1048.560000,1.334120e-13
1049.130000,1.340110e-13
1049.690000,1.359780e-13
1050.260000,1.388510e-13
1050.820000,1.425830e-13
1051.390000,1.446110e-13
1051.950000,1.422960e-13
1052.520000,1.395460e-13
1053.080000,1.382460e-13
1053.650000,1.369830e-13
1054.210000,1.374470e-13
1054.780000,1.393230e-13
1055.340000,1.408720e-13
1055.910000,1.414560e-13
1056.470000,1.417840e-13
1057.040000,1.404990e-13
1057.600000,1.394470e-13
1058.170000,1.384500e-13
1058.730000,1.375280e-13
1059.300000,1.363960e-13
1059.860000,1.366230e-13
1060.430000,1.394660e-13
1060.990000,1.433370e-13
1061.560000,1.460730e-13
1062.120000,1.487540e-13
1062.690000,1.506790e-13
1063.250000,1.504070e-13
1063.820000,1.493630e-13
1064.380000,1.470290e-13
1064.950000,1.435850e-13
1065.510000,1.405360e-13
1066.080000,1.373550e-13
1066.640000,1.342110e-13
1067.210000,1.344710e-13
1067.770000,1.364630e-13
1068.340000,1.381340e-13
1068.900000,1.396920e-13
1069.470000,1.404870e-13
1070.030000,1.399360e-13
1070.600000,1.399260e-13
1071.160000,1.403570e-13
1071.730000,1.407020e-13
1072.290000,1.418980e-13
1072.860000,1.431690e-13
1073.420000,1.439710e-13
1073.990000,1.434690e-13
1074.550000,1.424260e-13
1075.120000,1.414860e-13
1075.680000,1.403830e-13
1076.250000,1.383340e-13
1076.810000,1.374860e-13
1077.380000,1.380360e-13
1077.940000,1.386460e-13
1078.510000,1.389860e-13
1079.070000,1.391960e-13
1079.640000,1.388650e-13
1080.200000,1.381060e-13
1080.770000,1.369710e-13
1081.330000,1.356440e-13
